code;country;name
MB ;AUS;MURRAY BRIDGE
MBH;AUS;MORANBAH
MBR;AUS;MARBLE BAR
MCH;GER;MUNCHEN
MCK;AUS;MCKINLAY
MCL;FR ;MACON-CLUNY
MDB;FR ;MAURE-DE-BRETAGNE
MDG;AUS;MUDGEE
MDM;FR ;MESLAY-DU-MAINE
MDP;ARG;MAR DEL PLATA
MDR;FR ;MONTENDRE
MDU;FR ;MONDOUBLEAU
MDZ;ARG;MENDOZA
MEE;AUS;MEEKATHARRA
MEI;GER;MEISSENHEIM
MEN;AUS;MENDOORAN
MEX;MEX;MEXICO CITY
MEY;UAE;MEYDAN RACECOURSE
MGR;AUT;MAGNA RACINO
MGT;AUS;MT. GARNET
MGY;AUS;MUNGERY
MIE;GER;MIESAU
MIJ;SPA;MIJAS
MIN;AUS;MINGELA
MIZ;JPN;MIZUSAWA
MJN;CHN;MENGJUN RACE COURSE
MKY;AUS;MACKAY
ML ;FR ;MAISONS-LAFFITTE
MLD;AUS;MILDURA
MLM;FR ;MOULINS-LA-MARCHE
MLW;IRE;MALLOW
MMA;FR ;MONT-DE-MARSAN
MND;AUS;MENINDEE
MNE;FR ;MONTLUCON-NERIS
MNG;AUS;MORNINGTON
MNI;AUS;MUNGINDI
MNS;FR ;MANSLE
MNT;FR ;MANCIET
MNW;AUS;MINGENEW
MOA;AUS;MOAMA
MOE;AUS;MOE
MOL;FR ;MOLIERES
MOM;JPN;MOMBETSU
MOO;AUS;MOONEE VALLEY
MOS;RUS;MOSCOW
MOT;NZ ;MOTUKARARA
MOU;FR ;MOULINS
MOW;AUS;MOWBRAY
MP ;ITY;ACQUAVIVA DI MONTEPULCIANO
MPV;FR ;MARSEILLE PONT DE VIVAUX
MPZ;FR ;MONPAZIER
MR ;ENG;MARKET RASEN
MRA;AUS;MOORA
MRB;AUS;MAREEBA
MRE;AUS;MOREE
MRG;AUS;MURGOO
MRK;GR ;MARKOPOULO
MRN;URU;MARONAS
MRR;AUS;MERRIWA
MRS;FR ;MARSEILLE BORELY
MRT;AUS;MORTLAKE
MRV;AUS;MORVEN
MRW;AUS;MORAWA
MRY;AUS;MORUYA
MSD;ECU;MIGUEL SALEM DIBO
MST;CZE;MOST
MSW;AUS;MUSWELLBROOK
MTI;AUS;MT. ISA
MTL;FR ;MONTMIRAIL
MTM;AUS;MT. MAGNET
MTN;AUS;MANANGATANG
MTO;AUS;MONTO
MTP;AUS;MOUNT PERRY
MTS;AUS;MT. SURPRISE
MTT;NZ ;MASTERTON
MUL;GER;MULHEIM
MUM;IND;MUMBAI
MUR;AUS;MURTOA
MUS;ENG;MUSSELBURGH
MUT;AUS;MUTTABURRA
MVT;FR ;MONTREVAULT
MWB;AUS;MURWILLUMBAH
MYS;IND;MYSORE
NAA;IRE;NAAS
NAB;ENG;NEWTON ABBOT
NAD;UAE;NAD AL SHEBA
NAG;JPN;NAGOYA
NAK;JPN;NAKAYAMA
NAN;FR ;NANTES
NAP;ITY;NAPLES
NAV;IRE;NAVAN
NBY;ENG;NEWBURY
NC ;ENG;NEWCASTLE
NCA;NZ ;N. CANTERBURY
NDR;CHN;NINE DRAGONS HILL RACE COURSE
NEB;FR ;NEUFCHATEL-EN-BRAYE
NEM;GER;NEUMARKT
NEU;GER;NEUSS
NEW;ENG;NEWMARKET
NGI;AUS;NEGRI
NGN;AUS;NARROGIN
NHL;AUS;NHILL
NII;JPN;NIIGATA
NIM;FR ;NIMES
NIO;FR ;NIORT
NKA;JPN;NAKATSU
NKT;SAF;NEWMARKET
NL ;ITY;NOVI LIGURE
NLK;RUS;NALCHIK
NME;AUS;NARROMINE
NMN;AUS;NEWMAN
NNC;FR ;NANCY
NNG;AUS;NANANGO
NOC;AUS;NOCCUNDRA
NOE;GER;NORDLINGEN
NOO;AUS;NOORAMA
NOR;AUS;NORMANTON
NOT;ENG;NOTTINGHAM
NOU;FR ;NOUVELLE CALEDONIE
NOW;AUS;NOWRA
NOZ;FR ;NOZAY
NPL;NZ ;NEW PLYMOUTH
NPP;FR ;NEUILLE-PONT-PIERRE
NRA;AUS;NARACOORTE
NRB;AUS;NARRABRI
NRS;AUS;NORSEMAN
NSE;FR ;NORT-SUR-ERDRE
NSL;FR ;NUEIL-SUR-LAYON
NSV;FR ;NUILLE-SUR-VICOIN
NTH;AUS;NORTHAM
NUS;GER;NUSSDORF
NYA;AUS;NYABING
NYN;AUS;NYNGAN
NZC;NZ ;CANTERBURY
OAK;AUS;OAKBANK
OAM;NZ ;OAMARU
OBI;JPN;OBIHIRO
OGM;AUS;OGMORE
OHI;JPN;OHI
OI ;JPN;OOI
OKH;AUS;OAKLANDS
OKI;NZ ;OTAKI
OKL;AUS;OAKLEY
OKY;AUS;OAKEY
OLL;NZ ;OLD ELLERSLIE
OMK;NZ ;OMAKAU
OMO;NZ ;OMOTO
ONG;FR ;ORANGE
ONW;AUS;ONSLOW
OOT;IND;OOTACAMUND
OPK;AUS;OAK PARK
OPU;NZ ;OPUNAKE
OR ;ITY;ORVIETO
ORL;FR ;ORLEANS
OST;BEL;OOSTENDE
OTA;NZ ;OTAGO
OTI;NZ ;OTAKI-MAORI
OVR;NOR;OVREVOLL
PA ;DOM;PERLAS ANTILLANAS
PAE;NZ ;PAEROA
PAM;AUS;PAMBULA
PAR;CZE;PARDUBICE
PAS;FR ;PAU ST-CH
PAU;FR ;PAU
PCK;AUS;PINE CREEK
PE ;ITY;PESARO
PIJ;AUS;PINJARRA
PIN;AUS;PINGRUP
PIS;ITY;PISA
PKK;NZ ;PUKEKURA
PKN;AUS;RACING.COM PAKENHAM RACECOURSE
PLA;GER;PLATTLING
PLB;AUS;PILBARA
PLE;FR ;PLESSE
PLG;FR ;PLESTIN-LES-GREVES
PLM;FR ;PARAY-LE-MONIAL
PLO;FR ;PLOERMEL
PLP;NZ ;PHAR LAP
PLU;ENG;PLUMPTON
PMQ;AUS;PORT MACQUARIE
PNC;FR ;PONTCHATEAU
PNG;AUS;PENONG
PNS;FR ;PONS
PNT;AUS;PENTLAND
POC;GER;POCKING
POI;FR ;POITIERS
POM;FR ;POMPADOUR
PON;ENG;PONTEFRACT
POO;AUS;POONCARIE
POR;FR ;PORNICHET-LA BAULE
PP ;IRE;PHOENIX PARK
PR ;PR ;PUERTO RICO
PRA;CZE;PRAGUE
PRK;AUS;PARKES
PRO;FR ;PROPRIANO
PRR;AUS;PRAIRIE
PRU;FR ;PRUNELLI DI FIUMORBO
PTA;AUS;PORT AUGUSTA
PTH;ENG;PERTH HUNT
PTL;AUS;PORT LINCOLN
PTP;AUS;PORT PIRIE
PTT;NZ ;PATTERSON PARK
PTY;POL;PARTYNICE
PUK;NZ ;PUKEKOHE PARK
PUN;IRE;PUNCHESTOWN
PVA;FR ;PLENEUF-VAL-ANDRE
PVE;FR ;PORTO VECCHIO
PYA;RUS;PYATIGORSK
QBY;AUS;QUEANBEYAN
QC ;DOM;QUINTO CENTENARIO
QPS;TRI;QUEEN'S PARK SAVANNAH
QRN;AUS;QUORN
QUA;GER;QUAKENBRUCK
QUB;AUS;QUAMBONE
QUE;FR ;QUESTEMBERT
QUL;AUS;QUILPIE
QUM;AUS;QUAMBY
QUR;AUS;QUIRINDI
RAB;MOR;RABAT
RAL;VEN;RANCHO ALEGRE
RAM;FR ;RAMBOUILLET
RAN;AUS;RANDWICK
RAS;ENG;ROYAL ASCOT
RBN;AUS;ROEBOURNE
RBS;THA;ROYAL BANGKOK SPORTS CLUB
RCH;AUS;ROCHESTER
RCP;NZ ;RICHMOND PARK
RDG;AUS;RIDGELANDS
RED;ENG;REDCAR
REE;NZ ;REEFTON
REI;GER;REIT IM WINKL
REN;AUS;RENNER SPRINGS
RI ;ITY;RIMINI
RIC;NZ ;RICCARTON PARK
RIO;ARG;RIO CUARTO
RIP;ENG;RIPON
RIV;NZ ;RIVERTON
RJF;SAF;RANDJESFONTEIN
RKA;NZ ;RUAKAKA
RLP;FR ;ROYAN LA PALMYRE
ROC;AUS;ROCKHAMPTON
ROH;AUS;ROSEHILL
ROM;ITY;ROME
ROS;IRE;ROSCOMMON
ROT;NZ ;ROTORUA
ROU;FR ;ROUEN
ROX;AUS;ROXBY DOWNS
RSL;FR ;ROCHEFORT-SUR-LOIRE
RSM;FR ;ROCHEFORT-SUR-MER
RTC;THA;ROYAL TURF CLUB OF THAILAND
SAB;SPA;SAN SEBASTIAN
SAG;JPN;SAGA
SAN;ENG;SANDOWN PARK
SAP;BRZ;JOCKEY CLUB OF SAO PAULO (QH)
SAU;FR ;SAUMUR
SAV;FR ;SAVENAY
SBR;FR ;SAINT-BRIEUC
SC ;ITY;SAN COSIMO E DAMIANO
SCA;NZ ;S. CANTERBURY
SCH;HOL;SCHAESBERG
SCK;AUS;STONY CREEK
SCN;AUS;SCONE
SCO;SAF;SCOTTSVILLE
SCT;AUS;SUNSHINE COAST
SDG;FR ;SAINT-DENIS-DE-GASTINES
SDT;FR ;SAINT-OUEN-DES-TOITS
SED;ENG;SEDGEFIELD
SEG;FR ;SEGRE
SEL;MAL;SELANGOR
SEO;KOR;SEOUL
SEV;SPA;SEVILLA
SEY;AUS;SEYMOUR
SG ;ITY;SAN GIOVANNI
SHH;FR ;SAINT HILAIRE DU HARCOUET
SI ;ARG;SAN ISIDRO
SIN;SIN;KRANJI
SJM;FR ;SAINT-JEAN-DE-MONTS
SJU;ARG;SAN JUAN
SKB;AUS;STREAKY BAY
SLB;FR ;SAUMUR-LE-BREIL
SLG;FR ;SILLE-LE-GUILLAUME
SLI;IRE;SLIGO
SLL;FR ;SEICHES-SUR-LE-LOIR
SLO;FR ;SAINT-LO
SLP;PHI;SAN LAZARO LEISURE PARK
SLU;POL;SLUZEWIEC
SMD;AUS;STAMFORD
SML;FR ;SAINT-MAIXENT-L'ECOLE
SMT;AUS;SMITHTON
SNH;AUS;LADBROKES PARK SANDOWN HILLSIDE
SNL;AUS;SANDOWN LAKESIDE
SNP;FR ;SENONNES-POUANCE
SOR;BRZ;JOCKEY CLUB OF SOROCABA
SOU;ENG;SOUTHWELL
SP ;TRI;SHIRVAN PARK
SPC;FR ;SAINT-PIERRE-LA-COUR
SPD;FR ;SAINT-PIERRE-SUR-DIVES
SPK;AUS;SALTBUSH PARK
SPL;FR ;SAINT-POL-DE-LEON
SPR;FR ;SAINT PAIR
SPY;AUS;SPREYTON
SRI;VEN;SANTA RITA
SRT;AUS;SURAT
SS ;ITY;SASSARI
SSC;FR ;SERRA DI SCOPAMENE
SSL;FR ;SAINT-SATURNIN-DU-LIMET
SSO;ITY;IPPODROMO DI SAN SIRO
SSR;AUS;SPRINGSURE
SSS;FR ;SABLE-SUR-SARTHE
ST ;HK ;SHA TIN
STA;ENG;STRATFORD ON AVON
STB;AUS;STRATHALBYN
STC;FR ;SAINT CLOUD
STE;BEL;STERREBEEK
STF;ARG;SANTA FE
STM;FR ;SAINT-MALO
STR;FR ;STRASBOURG
STS;FR ;SAINTES
STV;GER;STOVE IN HAMBURG
STW;AUS;STAWELL
SWC;AUS;SWIFTS CREEK
SWH;AUS;SWAN HILL
TAB;SWE;TABY
TAK;JPN;TAKASAKI
TAL;AUS;TALMOI
TAN;ARG;HIPODROMO DE TANDIL
TAP;NZ ;TAUPO
TAR;BRZ;TARUMA
TAT;AUS;TATURA
TAU;ENG;TAUNTON
TBY;AUS;TUMBY BAY
TC ;ITY;TAGLIACOZZO
TCK;AUS;TENNANT CREEK
TEA;NZ ;TE AROHA
TEC;COL;TECHO
TEK;NZ ;TE TEKO
TEP;ENG;TEESSIDE PARK
TER;NZ ;TE RAPA
TEW;NZ ;TE AWAMUTU
TEX;AUS;TEXAS
TFF;SAF;TURFFONTEIN
THA;NZ ;THAMES
THE;AUS;THEODORE
THI;ENG;THIRSK
THL;AUS;TOWER HILL
THN;AUS;THANGOOL
THO;FR ;THOUARS
THU;IRE;THURLES
TIA;MEX;TIAJUANA
TIP;IRE;TIPPERARY
TKA;NZ ;TE KAPUA
TKP;NZ ;TE KUPENGA
TKU;NZ ;TAUHERENIKAU
TLB;AUS;TULLIBIGEAL
TLW;AUS;TALWOOD
TMB;AUS;TAMBO
TMC;AUS;TIMBER CREEK
TMG;AUS;TOMINGLEY
TMP;AUS;TOM PRICE
TMT;AUS;TUMUT
TMU;NZ ;TIMARU
TNK;NZ ;TARANAKI
TOB;TRI;TOBAGO
TOC;AUS;TOCUMWAL
TOD;AUS;TOODYAY
TOK;JPN;TOKYO
TOO;AUS;TOOWOOMBA
TOR;ITY;TOR DI QUINTO
TOU;FR ;TOULOUSE
TOW;ENG;TOWCESTER
TPN;NZ ;TAPANUI
TQ ;ITY;TOR DI QUINTO
TRA;IRE;TRALEE
TRC;FR ;THOUARCE
TRE;NZ ;TRENTHAM
TRM;IRE;TRAMORE & WATERFORD
TRN;AUS;TRANGIE
TRO;ITY;TORINO
TRS;FR ;TOURS
TRU;AUS;TRUNDLE
TSP;AUS;THREE SPRINGS
TTH;AUS;TOTTENHAM
TUC;ARG;TUCUMAN
TUL;AUS;TULLAMORE
TUM;AUS;TUMBARUMBA
TUN;AUS;TUNCURRY
TV ;ITY;TREVISO
TWG;AUS;TOWONG
TWH;AUS;TWIN HILLS
UDH;IND;UDHAGAMANDALAM
UP ;TRI;UNION PARK
UTS;JPN;UTSUNOMIYA
UTT;ENG;UTTOXETER
VAA;SAF;VAAL
VAL;VEN;VALENCIA
VAN;FR ;VANNES
VAR;ITY;VARESE
VBI;FR ;VIC-BIGORRE
VCY;FR ;VICHY
VDM;FR ;VILLENEUVE-DE-MARSAN
VDT;ARG;VENADO TUERTO
VEE;GER;VEEN
VEL;GER;VELDEN
VEN;FR ;VENACO
VES;FR ;VESOUL
VFE;FR ;VIC-FEZENSAC
VHY;FR ;VICHY
VI ;ITY;VIGNANELLO
VIE;AUT;VIENNA
VIM;FR ;VIMOUTIERS
VIR;FR ;VIRE
VIT;FR ;VITRE
VP ;AUS;VICTORIA PARK
VRN;FR ;VERNON
VSC;CHI;VALPARAISO SPORTING CLUB
VSL;FR ;VILLENEUVE-SUR-LOT
VTL;FR ;VITTEL
VTX;FR ;VITTEAUX
VYS;FR ;VICHY SOIR
WAD;GER;WARENDORF
WAG;AUS;WAGGA
WAI;NZ ;WAIKATO
WAK;NZ ;WAIKOUAITI
WAL;GER;WALLDORF
WAM;NZ ;WAIMATE
WAN;NZ ;WANGANUI
WAP;NZ ;WAIPUKURAU
WAR;ENG;WARWICK
WAS;NZ ;WASHDYKE
WAT;NZ ;WATERLEA
WAV;NZ ;WAVERLEY
WCH;AUS;WALCHA
WCP;AUS;WAUCHOPE
WDA;AUS;WALLABADAH
WDD;AUS;WOODEND
WDH;AUS;WINDORAH
WEA;AUS;WEAN
WEL;NZ ;WELLINGTON
WEN;AUS;WENTWORTH
WER;AUS;WERRIBEE
WES;NZ ;WESTPORT
WET;ENG;WETHERBY
WEX;IRE;WEXFORD
WF ;AUS;WARWICK FARM
WHY;AUS;WHYALLA
WIN;ENG;WINCANTON
WIS;FR ;WISSEMBOURG
WIT;AUS;WITTENOOM GORGE
WKB;AUS;WARRACKNABEAL
WLD;AUS;WARIALDA
WLG;AUS;WALGETT
WLL;AUS;WELLINGTON
WLN;AUS;WILUNA
WLP;AUS;WILPEENA
WMA;AUS;WOOLAMAI
WNB;AUS;WARRNAMBOOL
WND;AUS;WANDOAN
WNG;AUS;WINGHAM
WNN;AUS;WINNING
WOD;AUS;WODONGA
WOL;ENG;WOLVERHAMPTON
WON;AUS;WONDAI
WOO;NZ ;WOODVILLE
WOR;ENG;WORCESTER
WOW;AUS;WOWAN
WPA;NZ ;WAIPA
WRA;NZ ;WAIROA
WRR;AUS;WARREN
WRW;AUS;WARWICK
WYA;AUS;WYANDRA
WYC;AUS;MOUNT WYCHEPROOF
WYN;NZ ;WYNDHAM
XXX;XXX;UNKNOWN TRACK
YAL;AUS;YALGOO
YAR;ENG;GREAT YARMOUTH
YAS;AUS;YASS
YEA;AUS;YEA
YEP;AUS;YEPPOON
YGH;AUS;YARRA GLEN & LILYDALE HC
YGL;AUS;YARRA GLEN
YKA;AUS;YARAKA
YNG;AUS;YOUNG
YOR;ENG;YORK
YRK;AUS;YORK
YVL;AUS;YARRA VALLEY
ZAR;SPA;LA ZARZUELA
ZON;FR ;ZONZA
ZWE;GER;ZWEIBRUCKEN
